iter	Passed	Remaining
852	12683	2185
853	12697	2170
854	12710	2155
855	12724	2140
856	12739	2125
857	12752	2110
858	12764	2095
859	12776	2079
860	12789	2064
861	12833	2054
862	12859	2041
863	12872	2026
864	12884	2010
865	12896	1995
866	12908	1980
867	12921	1965
868	12935	1949
869	12955	1935
870	12965	1920
871	12978	1905
872	12990	1889
873	13002	1874
874	13015	1859
875	13028	1844
876	13040	1828
877	13051	1813
878	13064	1798
879	13076	1783
880	13089	1768
881	13102	1752
882	13109	1737
883	13122	1721
884	13134	1706
885	13147	1691
886	13161	1676
887	13172	1661
888	13184	1646
889	13197	1631
890	13208	1615
891	13221	1600
892	13232	1585
893	13245	1570
894	13258	1555
895	13271	1540
896	13284	1525
897	13297	1510
898	13310	1495
899	13323	1480
900	13336	1465
901	13348	1450
902	13362	1435
903	13375	1420
904	13386	1405
905	13400	1390
906	13413	1375
907	13426	1360
908	13438	1345
909	13481	1333
910	13504	1319
911	13516	1304
912	13528	1289
913	13541	1274
914	13555	1259
915	13567	1244
916	13579	1229
917	13592	1214
918	13605	1199
919	13618	1184
920	13631	1169
921	13644	1154
922	13657	1139
923	13668	1124
924	13681	1109
925	13693	1094
926	13706	1079
927	13719	1064
928	13732	1049
929	13745	1034
930	13759	1019
931	13771	1004
932	13784	989
933	13797	974
934	13809	960
935	13822	945
936	13835	930
937	13848	915
938	13860	900
939	13873	885
940	13886	870
941	13899	855
942	13912	840
943	13926	826
944	13940	811
945	13956	796
946	13972	782
947	13986	767
948	14000	752
949	14013	737
950	14024	722
951	14038	707
952	14050	692
953	14060	677
954	14072	663
955	14083	648
956	14094	633
957	14107	618
958	14118	603
959	14129	588
960	14141	573
961	14152	559
962	14164	544
963	14177	529
964	14187	514
965	14198	499
966	14212	485
967	14223	470
968	14237	455
969	14247	440
970	14258	425
971	14270	411
972	14282	396
973	14294	381
974	14307	366
975	14319	352
976	14331	337
977	14343	322
978	14355	307
979	14369	293
980	14382	278
981	14395	263
982	14407	249
983	14419	234
984	14432	219
985	14443	205
986	14454	190
987	14467	175
988	14479	161
989	14491	146
990	14503	131
991	14514	117
992	14525	102
993	14537	87
994	14549	73
995	14562	58
996	14572	43
997	14585	29
998	14598	14
999	14610	0
